CODIGO_PROYECTO,NOMBRE_OBRA,NOMBRE_CLIENTE
P-Pruebra,Proyecto de Prueba,Carlos Rogers
P-896,Edificio Bicentenario,EDIFICIO BICENTENARIO 3883
P-944,Edif. Infinity Nativa,COMUNIDAD EDIFICIO INFINITY NATIVA
P-934,Edificio Parque Ñuñoa,EDIFICIO PARQUE ÑUÑOA
P-713,Parque casa colon,COMUNIDAD EDIFICIO PARQUE CASA COLON
P-923,Edif. Parque Costanera,COM. EDIF. PARQUE NUEVA COSTANERA
P-1479,Aldunate 1525,Edificio Aldunate 1525
P-838,Edificio Patio Centro,CCAF LOS HEROES
P-1673,Inacap Temuco - Etapa A,Universidad Tecnologica de Chile Inacap
P-1614,Edificio Enlace (Conde Maule),Constructora Grevia
P-1617,Infante Videla,Constructora Grevia
P-1638,Colón,Constructora Grevia
P-1679,Juan Sabaj,Constructora Grevia
P-1490,Trigales,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.
P-1503,La Oracion,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.
P-1525,Las Verbenas,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.
P-1554,Las Verbenas II,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.
P-1627,Las Trinitarias,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.
P-1691,Rosario Rosales,CONSTRUCTORA E INMOBILIARIA PRADOVERDE LTDA.
P-1204,Vista Los Andes,BERSA KENNEDY S.A
P-1496,Kennedy Manquehue E,BERSA KENNEDY S.A
P-1632,Chorrillos Clorox,Constructora Suksa S.A.
P-1643,Chorrillos M4,Constructora Suksa S.A.
P-1674,Oficinas Beiersdorf Chorrillos,Constructora Suksa S.A.
P-1716,CD Astara,Astara Logística Chile SpA.
P-1566,El Tirol,Innova Ingenieria y Construccion ltda
P-1497,Polo 6 y 7,Constructora El Cerro S.A.
P-1470,Edificio PRO,EMPRESA CONTRUCTORA BROTEC BRAVO E IZQUIERDO LTDA.
P-1663,Oficinas Equifax,Constructora VRK Ingenieria Limitada
P-Suministro,Suministros Varios,Constructora VRK Ingenieria Limitada
P-1639,Lyon 2546,Moller y Perez - Cotapos Construcciones Industriales S.A
P-1677,Galvarino Gallardo,Moller y Perez - Cotapos Construcciones Industriales S.A
P-1688,Suiza,Moller y Perez - Cotapos Construcciones Industriales S.A
P-1532,Anasac Lampa,Anasac Chile S.A.
P-1430,Constructora Tranco,CONSTRUCTORA TRANCO S.A
P-Comercial,Asignaciones asociadas al dpto. comercial,Grupo Schutz S.A
P-Proyectos,Carga productos generales de proyectos,Grupo Schutz S.A
P-1100,Bastias y Cardemil,Bastias Cardemil Arquitectos Limitada
P-1282,Edif. Las Verbenas,Inmobiliaria Edificio Las Verbenas S.A
P-1524,Hotel City Enea,Hotel City Express Enea S.A
P-1369,Hilton,INMOBILIARIA  POSH  LIMITADA
P-1629,Edificio La Florida,Constructora UPC S.A.
P-1672,Sta Clara (ccdd-telecom),Constructora UPC S.A.
P-1520,Italia Cantauco,CANTAUCO CONSTRUCCION LTDA.
P-1531,Circuito Italia (Cantauco CCDD),CANTAUCO CONSTRUCCION LTDA.
P-1560,Juan Fco. Gonzalez Red Seca,CANTAUCO CONSTRUCCION LTDA.
P-1565,Duble,CANTAUCO CONSTRUCCION LTDA.
P-1570,Juan Fco. Gonzalez CCDD,CANTAUCO CONSTRUCCION LTDA.
P-1574,Arturo Claro,CANTAUCO CONSTRUCCION LTDA.
P-1588,Garcia Moreno,CANTAUCO CONSTRUCCION LTDA.
P-1654,Exequiel Fernandez,CANTAUCO CONSTRUCCION LTDA.
P-1690,Ongolmo - Home Condominio,CANTAUCO CONSTRUCCION LTDA.
P-1548,Wentu,Inmobiliaria Mirador Los Trapenses S.A.
P-1513,Barry Callebaut,Barry Callebaut Chile SpA
P-1678,Habilitación Oficinas Pirer SPA,SOC. CONSTRUCTORA MANSILLA Y SALGADO LIMITADA
P-1668,Quillayes Plaza,E.MOLINA MOREL CONSTRUCTORA S.A.
P-1687,Rojas Magallanes,E.MOLINA MOREL CONSTRUCTORA S.A.
