COD_PROYECTO,TIPO_x0020_MOVIMIENTO,FECHA_x0020_GUIA,NUMERO_x0020_GUIA,PARTIDA_x0020_PRESUPUESTARIA,CODIGO_x0020_PARTE,CANTIDAD,DESCRIPCI_xFFFD_N_x0020_PRODUCTO,UNIDAD_x0020_DE_x0020_MEDIDA,COSTO_x0020_UNITARIO,COSTO_x0020_TOTAL
P-Servicios,STT,2022-01-13T00:00:00-03:00,44283,,T14390362,1,Fuente 220VAC/12VDC 10A Switching,UN,11399,11399
P-1689,VCO,2022-01-17T00:00:00-03:00,44322,1002,T14392533,1,Fuente 220VAC/24VAC Edwards EST BPS6A/230 6.0amp UL/FM,UN,217777,217777
P-1689,VCO,2022-01-17T00:00:00-03:00,44322,1013,I17440843,50,Tarugos paloma fibrocemento 3 a 5 mm,UN,40,2000
P-1689,VCO,2022-01-17T00:00:00-03:00,44322,1013,I17440039,200,"Tornillo roscalata 6 x 1""",UN,8,1600
P-1689,VCO,2022-01-17T00:00:00-03:00,44322,1063,I17440777,1,"Disco corte 7"" metal",UN,978,978
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1011,I17440300,300,"Tornillo Framer 7 x 7/16"" Negro",UN,4,1200
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1023,T14380054,200,Cable paralelo 2x20 color,M,136,27200
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1021,T14380054,100,Cable paralelo 2x20 color,M,136,13600
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1009,T14380054,100,Cable paralelo 2x20 color,M,136,13600
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1009,T14380054,200,Cable paralelo 2x20 color,M,136,27200
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1024,I16430010,200,Amarras plasticas 200mm,UN,22,4400
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1028,T14380059,580,Cable UTP CAT5E unifilar interior Trimer,M,155,89900
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1029,T14380059,200,Cable UTP CAT5E unifilar interior Trimer,M,155,31000
P-1668,VCO,2022-01-19T00:00:00-03:00,44340,1047,T14380059,135,Cable UTP CAT5E unifilar interior Trimer,M,155,20925
P-1672,VCO,2022-01-19T00:00:00-03:00,44347,1019,P07141018,26,Detector de humo fotoelectrico 4H Cert U,UN,12512,325312
P-1667,VCO,2022-01-24T00:00:00-03:00,44365,1040,P07140137,10,Detector de Humo Fotoelectrico 4H sin ce,UN,6369,63690
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1030,I16430109,2,Cinta Permace 3/4,UN,797,1594
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1030,I16430107,2,Cinta Aisladora 3M Temflex 1500,UN,1379,2758
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1030,I16430005,1,Agorex pomo transparente,UN,2620,2620
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1030,I17440039,100,"Tornillo roscalata 6 x 1""",UN,8,800
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1030,I17440302,100,"Tornillo roscalata 6 x 2""",UN,15,1500
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1027,T14380190,100,Cable paralelo 2x24 Cafe,M,51,5100
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1026,S11290198,10,"Magnetico Embutido 1/4"" Blanco",UN,700,7000
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1036,P07140137,9,Detector de Humo Fotoelectrico 4H sin ce,UN,6369,57321
P-1677,VCO,2022-01-24T00:00:00-03:00,44372,1027,T14380059,305,Cable UTP CAT5E unifilar interior Trimer,M,153,46665
