CODIGO_PROYECTO,TIPO_CUENTA,FECHA,AÑO,MES,CREDITO,DEBITO,TOTAL,MARGEN
P-1557,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,945949,-945949,0.0
P-1591,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,2483998,-2483998,0.0
P-1592,COSTO MATERIALES,2023-01-01,2023.0,1.0,45357,0,45357,0.0
P-1592,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,102993,-102993,0.0
P-1592,COSTO MATERIALES,2023-03-01,2023.0,3.0,47815,0,47815,0.0
P-1592,COSTO MATERIALES,2023-05-01,2023.0,5.0,51537,0,51537,0.0
P-1603,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,30000,-30000,0.0
P-1611,COSTO MATERIALES,2023-02-01,2023.0,2.0,6648,0,6648,0.0
P-1612,COSTO MATERIALES,2023-03-01,2023.0,3.0,30258,0,30258,0.0
P-1620,COSTO MATERIALES,2023-04-01,2023.0,4.0,37900,54300,-16400,0.0
P-1626,COSTO MATERIALES,2023-04-01,2023.0,4.0,3460,0,3460,0.0
P-1632,COSTO MATERIALES,2023-05-01,2023.0,5.0,75965,0,75965,0.0
P-1639,COSTO MATERIALES,2023-04-01,2023.0,4.0,5166,0,5166,0.0
P-1641,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,369720,-369720,0.0
P-1642,COSTO MATERIALES,2023-02-01,2023.0,2.0,8880,0,8880,0.0
P-1643,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,330968,-330968,0.0
P-1644,COSTO MATERIALES,2023-01-01,2023.0,1.0,198000,0,198000,0.0
P-1644,COSTO MATERIALES,2023-03-01,2023.0,3.0,6032,0,6032,0.0
P-1645,COSTO MATERIALES,2023-05-01,2023.0,5.0,19980,0,19980,0.0
P-1645,INGRESO,2023-01-01,2023.0,1.0,963564,963564,0,0.0
P-1648,COSTO MATERIALES,2023-01-01,2023.0,1.0,13080,0,13080,0.0
P-1648,COSTO MATERIALES,2023-03-01,2023.0,3.0,11702,0,11702,0.0
P-1648,COSTO MATERIALES,2023-04-01,2023.0,4.0,176177,0,176177,0.0
P-1649,COSTO MATERIALES,2023-04-01,2023.0,4.0,9072,0,9072,0.0
P-1649,COSTO MATERIALES,2023-05-01,2023.0,5.0,36183,0,36183,0.0
P-1653,COSTO MATERIALES,2023-02-01,2023.0,2.0,9000,0,9000,0.0
P-1656,COSTO MATERIALES,2023-05-01,2023.0,5.0,11250,0,11250,0.0
P-1658,COSTO MATERIALES,2023-01-01,2023.0,1.0,29000,0,29000,0.0
P-1658,COSTO MATERIALES,2023-03-01,2023.0,3.0,18401,0,18401,0.0
P-1660,COSTO MATERIALES,2023-01-01,2023.0,1.0,84163,0,84163,0.0
P-1660,COSTO MATERIALES,2023-02-01,2023.0,2.0,74590,0,74590,0.0
P-1660,COSTO MATERIALES,2023-05-01,2023.0,5.0,6045,0,6045,0.0
P-1661,COSTO MATERIALES,2023-03-01,2023.0,3.0,3200,0,3200,0.0
P-1663,COSTO MATERIALES,2023-06-01,2023.0,6.0,5429,0,5429,0.0
P-1664,COSTO MATERIALES,2023-01-01,2023.0,1.0,124715,0,124715,0.0
P-1664,COSTO MATERIALES,2023-02-01,2023.0,2.0,100955,18000,82955,0.0
P-1666,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,89550,-89550,0.0
