,CODIGO_PROYECTO,TIPO_CUENTA,FECHA,AÑO,MES,CREDITO,DEBITO,TOTAL,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL_2,MARGEN
0,1. TOTAL,4. COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,1. TOTAL,1. TOTAL,0,-0.4875337252233006
1,1. TOTAL,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,5096121,-5096121,1. TOTAL,1. TOTAL,5096121,0.24013522758508363
2,1. TOTAL,4. COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,4474872,-4474872,1. TOTAL,1. TOTAL,4474872,0.33853123025555426
3,1. TOTAL,4. COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,4016206,-4016206,1. TOTAL,1. TOTAL,4016206,0.27745231421092026
4,1. TOTAL,4. COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,4336206,-4336206,1. TOTAL,1. TOTAL,4336206,0.22465952880006174
5,1. TOTAL,1. INGRESO,2023-06-01,2023.0,6.0,33681393,0,33681393,1. TOTAL,1. TOTAL,33681393,-0.4875337252233006
6,1. TOTAL,1. INGRESO,2023-05-01,2023.0,5.0,572605764,170698310,401907454,1. TOTAL,1. TOTAL,401907454,0.5775785039309075
7,1. TOTAL,1. INGRESO,2023-04-01,2023.0,4.0,408889221,61678702,347210519,1. TOTAL,1. TOTAL,347210519,0.24013522758508363
8,1. TOTAL,1. INGRESO,2023-03-01,2023.0,3.0,481925304,199901371,282023933,1. TOTAL,1. TOTAL,282023933,0.33853123025555426
9,1. TOTAL,1. INGRESO,2023-02-01,2023.0,2.0,231086456,0,231086456,1. TOTAL,1. TOTAL,231086456,0.27745231421092026
10,1. TOTAL,1. INGRESO,2023-01-01,2023.0,1.0,449490833,191247845,258242988,1. TOTAL,1. TOTAL,258242988,0.22465952880006174
11,1. TOTAL,2. COSTO MATERIALES,2023-06-01,2023.0,6.0,3333888,53436096,-50102208,1. TOTAL,1. TOTAL,50102208,-0.4875337252233006
12,1. TOTAL,2. COSTO MATERIALES,2023-05-01,2023.0,5.0,8533707,178308055,-169774348,1. TOTAL,1. TOTAL,169774348,0.5775785039309075
13,1. TOTAL,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,3247244,150098697,-146851453,1. TOTAL,1. TOTAL,146851453,0.24013522758508363
14,1. TOTAL,2. COSTO MATERIALES,2023-03-01,2023.0,3.0,2764412,88079320,-85314908,1. TOTAL,1. TOTAL,85314908,0.33853123025555426
15,1. TOTAL,2. COSTO MATERIALES,2023-02-01,2023.0,2.0,3348963,83658197,-80309234,1. TOTAL,1. TOTAL,80309234,0.27745231421092026
16,1. TOTAL,2. COSTO MATERIALES,2023-01-01,2023.0,1.0,2565889,125972929,-123407040,1. TOTAL,1. TOTAL,123407040,0.22465952880006174
17,1. TOTAL,3. COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,111885468,-111885468,1. TOTAL,1. TOTAL,111885468,0.24013522758508363
18,1. TOTAL,3. COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,96760244,-96760244,1. TOTAL,1. TOTAL,96760244,0.33853123025555426
19,1. TOTAL,3. COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,82645544,-82645544,1. TOTAL,1. TOTAL,82645544,0.27745231421092026
20,1. TOTAL,3. COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,72482994,-72482994,1. TOTAL,1. TOTAL,72482994,0.22465952880006174
21,1. TOTAL,3. COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,1. TOTAL,1. TOTAL,0,-0.4875337252233006
22,1. TOTAL,,,,,2201473074,1666853772,534619302,1. TOTAL,1. TOTAL,534619302,
23,1. TOTAL,2. COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,1. TOTAL,1. TOTAL,0,0.24013522758508363
24,1. TOTAL,4. COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,1. TOTAL,1. TOTAL,0,0.24013522758508363
