Cta_Contable,Año,Mes,Fecha,Tipo_Comp,Num_Comp,Glosa,Primer_Analisis,Referencia,Debito,Credito,Num_Referencia
3101030-000,2023,1,2023-01-01T00:00:00-03:00,AJC,173,VENTAS DE PROYECTO,P-1677,P-1677,4081983,0,
3101030-000,2023,1,2023-01-01T00:00:00-03:00,AJC,174,VENTAS DE PROYECTO,P-1677,P-1677,6464848,0,
3101030-000,2023,1,2023-01-01T00:00:00-03:00,AJC,824,VENTAS DE PROYECTO,P-1700,P-1700,4673685,0,10604
3101030-000,2023,1,2023-01-01T00:00:00-03:00,AJC,825,VENTAS DE PROYECTO,P-1700,P-1700,1570055,0,10603
3101030-000,2023,1,2023-01-01T00:00:00-03:00,AJC,827,VENTAS DE PROYECTO,P-1704,P-1704,3613652,0,10602
3101030-000,2023,1,2023-01-01T00:00:00-03:00,AJC,828,VENTAS DE PROYECTO,P-1704,P-1704,40420148,0,10601
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,3,EP N°0009 INSTALACION SISTEMA TELECOMUNICACIONES,P-1677,76071313-9,0,6464848,13289
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,3,CP6025-015 OBRA EDIFICIO GALVARINO GALLARDO,P-1677,76071313-9,0,0,13289
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,3,Avance de Proyecto,P-1677,76071313-9,0,0,13289
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,4,EP N°0010 SERV. INSTALACION DE CORRIENTES DEBILES,P-1677,76071313-9,0,4081983,13290
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,4,CP6025-014-0010 OBRA -EDIFICIO GALVARINO GALLARDO,P-1677,76071313-9,0,0,13290
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,4,ESPECIALIDAD: CORRIENTES DEBILES,P-1677,76071313-9,0,0,13290
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,7,EP N° 7 OBRA Interiorismo MELI,P-1704,76525290-3,0,40420148,13291
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,7,"HES Nº 1000425585  UF 1.152,32X T/C 35.077,19",P-1704,76525290-3,0,0,13291
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,7,CONTRATO N° 7000026197 DE FECHA 01-08-2022 DETECCION Y EXTINCION DE INCENDIOS,P-1704,76525290-3,0,0,13291
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,8,EP N° 7 (adicional) OBRA Interiorismo MELI,P-1704,76525290-3,0,3613652,13292
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,8,"HES Nº 1000425585  UF 103.0200 X T/C 35.077,19",P-1704,76525290-3,0,0,13292
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,8,CONTRATO N° 7000026197 DE FECHA 01-08-2022 DETECCION Y EXTINCION DE INCENDIOS,P-1704,76525290-3,0,0,13292
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,9,EP N° 8 (avance) OBRA: NAVE 28000 BUENAVENTURA,P-1700,76525290-3,0,1570055,13293
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,9,"UF 44,76X T/C 35.077,19",P-1700,76525290-3,0,0,13293
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,9,CONTRATO N° 7000025807-00010 . DETECCION Y EXTINCION DE INCENDIOS,P-1700,76525290-3,0,0,13293
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,10,EP N° 8 (adicional) OBRA: NAVE 28000 BUENAVENTURA,P-1700,76525290-3,0,4673685,13294
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,10,"UF 133,24 X T/C 35.077,19",P-1700,76525290-3,0,0,13294
3101030-000,2023,1,2023-01-03T00:00:00-03:00,CVT,10,CONTRATO N° 7000025807-00010 . DETECCION Y EXTINCION DE INCENDIOS,P-1700,76525290-3,0,0,13294
3101030-000,2023,1,2023-01-10T00:00:00-03:00,CVT,205,EP ADICIONAL 1 OBRA ASTARA LOGISTICA CHILE SPA,P-1716,76040171-4,0,1170226,13306
3101030-000,2023,1,2023-01-10T00:00:00-03:00,CVT,205,Adicional Válvulas Red incendio ADR,P-1716,76040171-4,0,0,13306
3101030-000,2023,1,2023-01-12T00:00:00-03:00,CVT,304,"GLOSA: EP N°02, obra CC Paseo San Pedro",P-1709,76525290-3,0,7942575,13307
3101030-000,2023,1,2023-01-12T00:00:00-03:00,CVT,304,CONTRATO 7000026453  HES 1000440148,P-1709,76525290-3,0,0,13307
3101030-000,2023,1,2023-01-12T00:00:00-03:00,CVT,305,EP 35-3 OBRA ROJAS MAGALLANES,P-1687,76299890-4,0,4592780,13308
3101030-000,2023,1,2023-01-12T00:00:00-03:00,CVT,305,"130.56UF X T/C 35.178,67",P-1687,76299890-4,0,0,13308
3101030-000,2023,1,2023-01-12T00:00:00-03:00,CVT,305,SEGUN CONTRATO: 35 (21-42) DE FECHA 03 DE DICIEMBRE 2021,P-1687,76299890-4,0,0,13308
3101030-000,2023,1,2023-01-12T00:00:00-03:00,CVT,305,ESPECIALIDAD: INST.CORRIENTES DEBILES.,P-1687,76299890-4,0,0,13308
3101030-000,2023,1,2023-01-13T00:00:00-03:00,CVT,347,EP # 9,P-1690,76210676-0,0,4263575,13309
3101030-000,2023,1,2023-01-13T00:00:00-03:00,CVT,347,Nombre de Obra : Ongolmo 7290 Contrato # 360,P-1690,76210676-0,0,0,13309
3101030-000,2023,1,2023-01-13T00:00:00-03:00,CVT,347,"UF 121.0343 X T/C 35.226,17",P-1690,76210676-0,0,0,13309
3101030-000,2023,1,2023-01-16T00:00:00-03:00,CVT,400,EP N° 0009 OBRA: EDIFICIO MACUL ICALMA,P-1686,89853600-9,1519284,0,1016
3101030-000,2023,1,2023-01-16T00:00:00-03:00,CVT,400,UF 43.21 X T/C 34.998.47,P-1686,89853600-9,0,0,1016
3101030-000,2023,1,2023-01-16T00:00:00-03:00,CVT,400,SEGUN CONTRATO 0656-1016 DE FECHA 27-09-2021,P-1686,89853600-9,0,0,1016
3101030-000,2023,1,2023-01-16T00:00:00-03:00,CVT,400,SUB-CONTRATO 06561016 CORRIENTES DEBILES Y TELECOMUNICACIONES,P-1686,89853600-9,0,0,1016
3101030-000,2023,1,2023-01-16T00:00:00-03:00,CVT,401,EP N° 0009 OBRA: EDIFICIO MACUL ICALMA,P-1686,89853600-9,0,1519284,13314
3101030-000,2023,1,2023-01-16T00:00:00-03:00,CVT,401,UF 43.21 X T/C 34.998.47,P-1686,89853600-9,0,0,13314
3101030-000,2023,1,2023-01-16T00:00:00-03:00,CVT,401,SEGUN CONTRATO 0656-1016 DE FECHA 27-09-2021,P-1686,89853600-9,0,0,13314
3101030-000,2023,1,2023-01-16T00:00:00-03:00,CVT,401,SUB-CONTRATO 06561016 CORRIENTES DEBILES Y TELECOMUNICACIONES,P-1686,89853600-9,0,0,13314
3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,495,EP N° OBRA CP6026 - Edificio Suiza CCDD,P-1688,76071313-9,0,4432592,13316
3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,495,CP6026-029-0004 OBRA SUIZA,P-1688,76071313-9,0,0,13316
3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,495,ESPECIALIDAD: CORRIENTES DEBILES,P-1688,76071313-9,0,0,13316
3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,553,EP 2-15-6 OBRA 176 PLAZA CEPPI,P-1682,77594729-2,0,9525963,13317
3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,553,"ESPECIALIDAD CORRIENTES DEBILES -
TELECOMUNICACIONES",P-1682,77594729-2,0,0,13317
3101030-000,2023,1,2023-01-17T00:00:00-03:00,CVT,553,"FORMA DE PAGO: CREDITO
 CONTRATO 2-15",P-1682,77594729-2,0,0,13317
