,Cta_Contable,Año,Mes,Fecha,Tipo_Comp,Num_Comp,Glosa,Primer_Analisis,Referencia,Num_Referencia,Debito,Credito,Comentario 
1,3101030-000,2021,1,1/6/21 0:00,CVT,47,EP N°26 - OBRA: S-0333 EDIFICIO NC 3000,P-1592,76525290-3,10756,0,6481068,
2,3101030-000,2021,1,1/6/21 0:00,CVT,47,"UF 222,93 x T/C $29.072,21",P-1592,76525290-3,10756,0,0,
3,3101030-000,2021,1,1/6/21 0:00,CVT,47,SEGÚN CONTRATO N°8000033317-00010 - HES N°1000295515,P-1592,76525290-3,10756,0,0,
4,3101030-000,2021,1,1/6/21 0:00,CVT,60,EP N°4 - OBRA: VIVIPRA,P-1658,79606430-7,10763,0,4301576,
5,3101030-000,2021,1,1/6/21 0:00,CVT,60,"UF 148 x T/C $29.064,70",P-1658,79606430-7,10763,0,0,
6,3101030-000,2021,1,1/6/21 0:00,CVT,60,SEGÚN OC 100000208 DE FECHA 10-08-2020,P-1658,79606430-7,10763,0,0,
7,3101030-000,2021,1,1/6/21 0:00,CVT,62,"ADICIONAL N°2 - UF 139,59xT/C $29.064,70",P-1658,79606430-7,10765,0,4057141,
8,3101030-000,2021,1,1/6/21 0:00,CVT,62,"ADICIONAL N°3 - UF 45,28xT/C $29.064,70",P-1658,79606430-7,10765,0,1316050,
9,3101030-000,2021,1,1/6/21 0:00,CVT,62,EP N° ADICIONAL - OBRA: VIVIPRA,P-1658,79606430-7,10765,0,0,
10,3101030-000,2021,1,1/6/21 0:00,CVT,62,SEGÚN OC 100000208 DE FECHA 10-08-2020,P-1658,79606430-7,10765,0,0,
11,3101030-000,2021,1,1/6/21 0:00,CVT,63,EP N°082-35-7 - OBRA: 082 EDIFICIO COLON,P-1638,78134800-7,10766,0,5894320,
12,3101030-000,2021,1,1/6/21 0:00,CVT,63,"UF 202,6298 x T/C $29.089,10",P-1638,78134800-7,10766,0,0,
13,3101030-000,2021,1,1/6/21 0:00,CVT,63,SEGÚN SUB-CONTRATO: 082-35 - ESPECIALIDAD:CORRIENTES DEBILES - CODIGO: 082.,P-1638,78134800-7,10766,0,0,
14,3101030-000,2021,1,1/7/21 0:00,CVT,87,EP N°4 - OBRA: VIVIPRA,P-1658,79606430-7,797,4301576,0,
15,3101030-000,2021,1,1/7/21 0:00,CVT,87,"UF 148 x T/C $29.064,70",P-1658,79606430-7,797,0,0,
16,3101030-000,2021,1,1/7/21 0:00,CVT,87,SEGÚN OC 100000208 DE FECHA 10-08-2020,P-1658,79606430-7,797,0,0,
17,3101030-000,2021,1,1/7/21 0:00,CVT,88,EP N° 4 - OBRA: VIVIPRA,P-1658,79606430-7,10767,0,4301575,
18,3101030-000,2021,1,1/7/21 0:00,CVT,88,"UF 148 x T/C $29.064,70",P-1658,79606430-7,10767,0,0,
19,3101030-000,2021,1,1/7/21 0:00,CVT,88,SEGÚN OC 100001622 DE FECHA 06-01-2021 - ITEM : ANI0161 INSTALACIONES.,P-1658,79606430-7,10767,0,0,
20,3101030-000,2021,1,1/13/21 0:00,CVT,162,"ADICIONAL N°2 - UF 139,59xT/C $29.064,70",P-1658,79606430-7,798,4057141,0,
21,3101030-000,2021,1,1/13/21 0:00,CVT,162,"ADICIONAL N°3 - UF 45,28xT/C $29.064,70",P-1658,79606430-7,798,1316050,0,
22,3101030-000,2021,1,1/13/21 0:00,CVT,162,EP N° ADICIONAL - OBRA: VIVIPRA,P-1658,79606430-7,798,0,0,
23,3101030-000,2021,1,1/13/21 0:00,CVT,162,SEGÚN OC 100000208 DE FECHA 10-08-2020,P-1658,79606430-7,798,0,0,
24,3101030-000,2021,1,1/13/21 0:00,CVT,163,EP N°ADICIONAL 2 - ITEM ANIO161 - OBRA : VIVPRA,P-1658,79606430-7,10771,0,4057141,
25,3101030-000,2021,1,1/13/21 0:00,CVT,163,EP N°ADICIONAL 3 - ITEM ANIO161 - OBRA: VIVPRA,P-1658,79606430-7,10771,0,1316049,
26,3101030-000,2021,1,1/13/21 0:00,CVT,163,SEGÚN OC 100001688 DE FECHA 11-01-2021.,P-1658,79606430-7,10771,0,0,
27,3101030-000,2021,1,1/14/21 0:00,CVT,203,EP N°104-32-12 - OBRA: 104-ECOSANTIAGO,P-1615,76690901-9,10772,0,1113152,
28,3101030-000,2021,1,1/14/21 0:00,CVT,203,"UF 38,2880 x T/C $29.073,13 DE FECHA 13-01-2021",P-1615,76690901-9,10772,0,0,
29,3101030-000,2021,1,1/14/21 0:00,CVT,203,SUB-CONTRATO: PROV.E INSTALACION DE CORRIENTES DEBILES - CENTRO DE COSTO: 104,P-1615,76690901-9,10772,0,0,
30,3101030-000,2021,1,1/17/21 0:00,CVT,233,EP N°0009 - OBRA: CF4028-LYON LUTERANO,P-1639,76071313-9,10779,0,2206290,
31,3101030-000,2021,1,1/17/21 0:00,CVT,233,"UF 75,87295736 x T/C $29.078,74",P-1639,76071313-9,10779,0,0,
32,3101030-000,2021,1,1/17/21 0:00,CVT,233,SUBCONTRATO: 027-SC CORRIENTES DEBILES - CONTRATO N°CF4028-027-0009,P-1639,76071313-9,10779,0,0,
33,3101030-000,2021,1,1/19/21 0:00,CVT,271,EP N° ANTICIPO 25% - OBRA: OFICINAS CUATRECASAS,S-1601,76321709-4,10780,0,4150000,
34,3101030-000,2021,1,1/19/21 0:00,CVT,271,SEGÚN OC 019 DE FECHA 18-01-2021 - EJECUCUION DE PROY.CONTRA INCENDIO.,S-1601,76321709-4,10780,0,0,
35,3101030-000,2021,1,1/19/21 0:00,CVT,272,EP N°082-35-8 - OBRA: 082 EDIFICIO COLON,P-1638,78134800-7,10781,0,2332682,
36,3101030-000,2021,1,1/19/21 0:00,CVT,272,"UF 80,2195 x T/C $29.078,74",P-1638,78134800-7,10781,0,0,
37,3101030-000,2021,1,1/19/21 0:00,CVT,272,SEG'UN SUB-CONTRATO: 082-35 - ESPECIALIDAD: CORRIENTES DEBILES - CODIGO:082,P-1638,78134800-7,10781,0,0,
38,3101030-000,2021,1,1/21/21 0:00,CVT,335,EP N°13 - OBRA: S-0410 MIRADOR SAN CRISTOBAL,P-1644,76525290-3,10820,0,1992184,
