CODIGO_PROYECTO,TIPO_CUENTA,TOTAL_LB,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL YTD,TOTAL LB OLD,TOTAL_PDT,MARGEN,TOTAL_PREP,% AVANCE
P-1557,3. COSTO MANO DE OBRA,0.0,ROSARIO ROSALES,EBCO S.A.,-1247014.0,0.0,-1247014.0,0.0,0.0,0.0
P-1591,3. COSTO MANO DE OBRA,0.0,EDIFICIO ESTORIL,EBCO S.A.,-4593960.0,0.0,-4593960.0,0.0,0.0,0.0
P-1592,2. COSTO MATERIALES,0.0,NUEVA COSTANERA 3300,EBCO S.A.,41716.0,856004.0,897720.0,1.0503739920445994,0.0,0.0
P-1603,2. COSTO MATERIALES,0.0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,-30000.0,0.0,-30000.0,0.0,-13744197.0,0.0021827393772077043
P-1611,2. COSTO MATERIALES,0.0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,6648.0,596177.0,602825.0,1.1444404243899633,-24208141.0,-0.024901746895806664
P-1612,2. COSTO MATERIALES,0.0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,30258.0,280644.0,310902.0,0.0,-30609079.0,-0.010157182449037424
P-1620,2. COSTO MATERIALES,0.0,"OF APOQUINDO- HABILITACIONES, INTEGRACION Y ADICIONALES.",CONSTRUCTORA INARCO S.A.,-16400.0,0.0,-16400.0,0.0,-11746595.0,0.001396149267085483
P-1626,2. COSTO MATERIALES,0.0,CLINICA BIO BIO,CONSTRUCTORA LYD S.A.,3460.0,678564.0,682024.0,10.029483801782003,-168705405.5,-0.004042692040475253
P-1632,2. COSTO MATERIALES,0.0,CHORRILLOS CLOROX,CONSTRUCTORA SUKSA S.A.,75965.0,236593.0,312558.0,0.0,-219387084.0,-0.001424687334829611
P-1636,2. COSTO MATERIALES,0.0,SANTO DOMINGO 1410,DANACORP S.A,0.0,-455187.0,-455187.0,0.7701637310893672,-11381553.0,0.03999339984622485
P-1639,2. COSTO MATERIALES,0.0,LYON 2546,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,5166.0,-11386547.0,-11381381.0,0.48193466053638384,-18254050.0,0.6234989495481824
P-1641,2. COSTO MATERIALES,0.0,INACAP TEMUCO,DESARROLLOS CONSTRUCTIVOS AXIS SOCIEDAD ANONIMA,-369720.0,-669050.0,-1038770.0,0.0,-30498737.0,0.03405944318284393
P-1642,2. COSTO MATERIALES,0.0,CORINTO,EMP. CONSTRUCTORA INGENIEROS S.A.,8880.0,-3100254.0,-3091374.0,0.5684262489065376,-7385337.0,0.4185826591257786
P-1643,2. COSTO MATERIALES,0.0,CHORRILLOS M4,CONSTRUCTORA SUKSA S.A.,-330968.0,-102685.0,-433653.0,0.0,-49797008.3,0.008708414718158882
P-1644,2. COSTO MATERIALES,0.0,MIRADOR DE SAN CRISTOBAL,EBCO S.A.,204032.0,-4787728.0,-4583696.0,0.7079814749832464,-32945669.0,0.1391289398312112
P-1645,2. COSTO MATERIALES,0.0,LOS TRES ANTONIOS,SOCIEDAD CONSTRUCTORA ECHAVARRI HERMANOS LIMITADA,19980.0,-8425359.0,-8405379.0,0.3408822941767781,-8503715.0,0.988436112922411
P-1645,1. INGRESO,0.0,LOS TRES ANTONIOS,SOCIEDAD CONSTRUCTORA ECHAVARRI HERMANOS LIMITADA,0.0,17327418.0,17327418.0,0.3408822941767781,18150000.0,0.9546786776859504
P-1648,2. COSTO MATERIALES,0.0,ETAPA 2 CD PERALILLO TW,INMOBILIARIA Y RENTAS LOGÍSTICA S.A.,200959.0,585953.0,786912.0,2.1696945373467114,-220215219.5,-0.003573376998132502
P-1649,2. COSTO MATERIALES,0.0,INACAP VITACURA E2,CONSTRUCTORA CUEVAS Y PURCELL S.A.,45255.0,-23863151.0,-23817896.0,0.5594570113953471,-192491263.0,0.12373494582972319
P-1653,2. COSTO MATERIALES,0.0,EDUARDO DE LA BARRA,CONSTRUCTORA E INVERSIONES VITAL SPA.,9000.0,-5682570.0,-5673570.0,0.5884963464134056,-10765426.0,0.5270176953517678
P-1656,2. COSTO MATERIALES,0.0,MIRADOR CLUB HÍPICO,CONSTRUCTORA VITAL EDIFICACION SPA,11250.0,-7997069.0,-7985819.0,0.46822487072375907,-12184301.0,0.6554187228303043
P-1658,2. COSTO MATERIALES,0.0,VIVIPRA,VICHERAT Y PRADENAS LTDA.,47401.0,-11404567.0,-11357166.0,0.6208078648898158,-38335303.0,0.29625867310870085
P-1660,2. COSTO MATERIALES,0.0,CORONEL ALVARADO,LARRAIN PRIETO RISOPATRON S.A.,164798.0,-12219084.0,-12054286.0,0.3145573187873993,-13492166.0,0.8934285273394946
P-1661,2. COSTO MATERIALES,0.0,SAN VICENTE DE PAUL,DANACORP S.A,3200.0,-14273969.0,-14270769.0,0.6129224609754692,-15916097.0,0.8966249074757461
P-1663,2. COSTO MATERIALES,0.0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0.0,-154491.0,-154491.0,0.0,-28692183.0,0.005384428225625077
P-1664,2. COSTO MATERIALES,0.0,MK II PCI,COMERCIAL K SPA.,207670.0,-50263095.0,-50055425.0,0.6383667609749212,-72301755.0,0.692312724635799
P-1666,2. COSTO MATERIALES,0.0,CD AXIONLONG,EBCO S.A.,-89550.0,-25105908.0,-25195458.0,0.6268129886869297,-45639112.4,0.5520584576487075
P-1667,3. COSTO MANO DE OBRA,0.0,ECO PLACILLA,CONSTRUCTORA ICF SPA,-6159129.0,-31446381.0,-37605510.0,0.01338737721525851,-16552739.0,2.2718602643345007
P-1667,2. COSTO MATERIALES,0.0,ECO PLACILLA,CONSTRUCTORA ICF SPA,-2453169.0,-43203936.0,-45657105.0,0.01338737721525851,-36944607.0,1.2358259758995407
P-1668,2. COSTO MATERIALES,0.0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,146500.0,-14171213.0,-14024713.0,0.3709413734778897,-14798537.0,0.9477094256006523
