CODIGO_PROYECTO,TIPO_CUENTA,TOTAL_LB,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL YTD,TOTAL LB OLD,TOTAL_PDT,MARGEN,TOTAL_PDT_PROY,% AVANCE
P-1557,3. COSTO MANO DE OBRA,0.0,ROSARIO ROSALES,EBCO S.A.,-1247014.0,0.0,-1247014.0,0.0,-1548079,0.8055234907262485
P-1591,3. COSTO MANO DE OBRA,0.0,EDIFICIO ESTORIL,EBCO S.A.,-4593960.0,0.0,-4593960.0,0.0,-6703922,0.685264536192396
P-1592,2. COSTO MATERIALES,0.0,NUEVA COSTANERA 3300,EBCO S.A.,41716.0,856004.0,897720.0,1.0503739920445994,897720,1.0
P-1603,2. COSTO MATERIALES,0.0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,-30000.0,0.0,-30000.0,0.0,-30000,1.0
P-1611,2. COSTO MATERIALES,0.0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,6648.0,596177.0,602825.0,1.1444404243899633,602825,1.0
P-1612,2. COSTO MATERIALES,0.0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,30258.0,280644.0,310902.0,0.0,310902,1.0
P-1620,2. COSTO MATERIALES,0.0,"OF APOQUINDO- HABILITACIONES, INTEGRACION Y ADICIONALES.",CONSTRUCTORA INARCO S.A.,-16400.0,0.0,-16400.0,0.0,-16400,1.0
P-1626,2. COSTO MATERIALES,0.0,CLINICA BIO BIO,CONSTRUCTORA LYD S.A.,3460.0,678564.0,682024.0,10.029483801782003,682024,1.0
P-1632,2. COSTO MATERIALES,0.0,CHORRILLOS CLOROX,CONSTRUCTORA SUKSA S.A.,75965.0,236593.0,312558.0,0.0,312558,1.0
P-1636,2. COSTO MATERIALES,0.0,SANTO DOMINGO 1410,DANACORP S.A,0.0,-455187.0,-455187.0,0.7701637310893672,-455187,1.0
P-1639,2. COSTO MATERIALES,0.0,LYON 2546,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,5166.0,-11386547.0,-11381381.0,0.48193466053638384,-11381381,1.0
P-1641,2. COSTO MATERIALES,0.0,INACAP TEMUCO,DESARROLLOS CONSTRUCTIVOS AXIS SOCIEDAD ANONIMA,-369720.0,-669050.0,-1038770.0,0.0,-1038770,1.0
P-1642,2. COSTO MATERIALES,0.0,CORINTO,EMP. CONSTRUCTORA INGENIEROS S.A.,8880.0,-3100254.0,-3091374.0,0.5684262489065376,-3091374,1.0
P-1643,2. COSTO MATERIALES,0.0,CHORRILLOS M4,CONSTRUCTORA SUKSA S.A.,-330968.0,-102685.0,-433653.0,0.0,-433653,1.0
P-1644,2. COSTO MATERIALES,0.0,MIRADOR DE SAN CRISTOBAL,EBCO S.A.,204032.0,-4787728.0,-4583696.0,0.7079814749832464,-4583696,1.0
P-1645,2. COSTO MATERIALES,0.0,LOS TRES ANTONIOS,SOCIEDAD CONSTRUCTORA ECHAVARRI HERMANOS LIMITADA,19980.0,-8425359.0,-8405379.0,0.3408822941767781,-8405379,1.0
P-1645,1. INGRESO,0.0,LOS TRES ANTONIOS,SOCIEDAD CONSTRUCTORA ECHAVARRI HERMANOS LIMITADA,0.0,17327418.0,17327418.0,0.3408822941767781,17327418,1.0
P-1648,2. COSTO MATERIALES,0.0,ETAPA 2 CD PERALILLO TW,INMOBILIARIA Y RENTAS LOGÍSTICA S.A.,200959.0,585953.0,786912.0,2.1696945373467114,786912,1.0
P-1649,2. COSTO MATERIALES,0.0,INACAP VITACURA E2,CONSTRUCTORA CUEVAS Y PURCELL S.A.,45255.0,-23863151.0,-23817896.0,0.5594570113953471,-23817896,1.0
P-1653,2. COSTO MATERIALES,0.0,EDUARDO DE LA BARRA,CONSTRUCTORA E INVERSIONES VITAL SPA.,9000.0,-5682570.0,-5673570.0,0.5884963464134056,-5673570,1.0
P-1656,2. COSTO MATERIALES,0.0,MIRADOR CLUB HÍPICO,CONSTRUCTORA VITAL EDIFICACION SPA,11250.0,-7997069.0,-7985819.0,0.46822487072375907,-7985819,1.0
P-1658,2. COSTO MATERIALES,0.0,VIVIPRA,VICHERAT Y PRADENAS LTDA.,47401.0,-11404567.0,-11357166.0,0.6208078648898158,-11357166,1.0
P-1660,2. COSTO MATERIALES,0.0,CORONEL ALVARADO,LARRAIN PRIETO RISOPATRON S.A.,164798.0,-12219084.0,-12054286.0,0.3145573187873993,-12054286,1.0
P-1661,2. COSTO MATERIALES,0.0,SAN VICENTE DE PAUL,DANACORP S.A,3200.0,-14273969.0,-14270769.0,0.6129224609754692,-14270769,1.0
P-1663,2. COSTO MATERIALES,0.0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0.0,-154491.0,-154491.0,0.0,-154491,1.0
P-1664,2. COSTO MATERIALES,0.0,MK II PCI,COMERCIAL K SPA.,207670.0,-50263095.0,-50055425.0,0.6383667609749212,-50055425,1.0
P-1666,2. COSTO MATERIALES,0.0,CD AXIONLONG,EBCO S.A.,-89550.0,-25105908.0,-25195458.0,0.6268129886869297,-25195458,1.0
P-1667,3. COSTO MANO DE OBRA,0.0,ECO PLACILLA,CONSTRUCTORA ICF SPA,-6159129.0,-31446381.0,-37605510.0,0.01338737721525851,-37987880,0.989934421189074
P-1667,2. COSTO MATERIALES,0.0,ECO PLACILLA,CONSTRUCTORA ICF SPA,-2453169.0,-43203936.0,-45657105.0,0.01338737721525851,-45657105,1.0
P-1668,2. COSTO MATERIALES,0.0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,146500.0,-14171213.0,-14024713.0,0.3709413734778897,-14024713,1.0
P-1669,3. COSTO MANO DE OBRA,0.0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,-156861.0,-3156860.0,-3313721.0,0.5997798305946107,-3313721,1.0
P-1669,2. COSTO MATERIALES,0.0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,1670169.0,-6319064.0,-4648895.0,0.5997798305946107,-4648895,1.0
P-1670,2. COSTO MATERIALES,0.0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,6945.0,-56749120.0,-56742175.0,0.6514248708367071,-56742175,1.0
P-1670,1. INGRESO,0.0,MK II SEGURIDAD Y REDES,COMERCIAL K SPA.,0.0,164021639.0,164021639.0,0.6514248708367071,164021639,1.0
P-1672,2. COSTO MATERIALES,0.0,STA CLARA (CCDD-TELECOM),CONSTRUCTORA UPC S.A.,-229982.0,-45941535.0,-46171517.0,0.31450083778942584,-46171517,1.0
P-1672,1. INGRESO,0.0,STA CLARA (CCDD-TELECOM),CONSTRUCTORA UPC S.A.,9435519.0,125091722.0,134527241.0,0.31450083778942584,134527241,1.0
P-1673,2. COSTO MATERIALES,0.0,INACAP TEMUCO - ETAPA A,UNIVERSIDAD TECNOLOGICA DE CHILE INACAP,68000.0,-11734275.0,-11666275.0,0.5648658045846682,-11666275,1.0
P-1674,2. COSTO MATERIALES,0.0,OFICINAS BEIERSDORF CHORRILLOS,CONSTRUCTORA SUKSA S.A.,23048.0,-8624174.0,-8601126.0,0.6281379965058812,-8601126,1.0
P-1675,2. COSTO MATERIALES,0.0,PALENA II,CONSTRUCTORA MYA SPA.,0.0,-7984413.0,-7984413.0,0.2687229447010022,-7984413,1.0
P-1675,1. INGRESO,0.0,PALENA II,CONSTRUCTORA MYA SPA.,398016.0,16753199.0,17151215.0,0.2687229447010022,17151215,1.0
P-1676,3. COSTO MANO DE OBRA,0.0,LO CAMPINO,EBCO S.A.,-1798488.0,-27522442.0,-29320930.0,0.5900790986807569,-29320930,1.0
P-1676,2. COSTO MATERIALES,0.0,LO CAMPINO,EBCO S.A.,-1518340.0,-30281474.0,-31799814.0,0.5900790986807569,-31799814,1.0
P-1677,3. COSTO MANO DE OBRA,0.0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-1992711.0,-24439480.0,-26432191.0,0.3530039045446605,-26432191,1.0
P-1677,2. COSTO MATERIALES,0.0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,-1379557.0,-30518645.0,-31898202.0,0.3530039045446605,-31898202,1.0
P-1677,1. INGRESO,0.0,GALVARINO GALLARDO,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,2369790.0,87785921.0,90155711.0,0.3530039045446605,90155711,1.0
P-1679,3. COSTO MANO DE OBRA,0.0,JUAN SABAJ,CONSTRUCTORA GREVIA,-187507.0,0.0,-187507.0,0.0,-187507,1.0
P-1679,2. COSTO MATERIALES,0.0,JUAN SABAJ,CONSTRUCTORA GREVIA,-96622.0,0.0,-96622.0,0.0,-96622,1.0
P-1680,3. COSTO MANO DE OBRA,0.0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,-30438122.0,-34991640.0,-65429762.0,0.25108656308754673,-73109783,0.8949522117990694
P-1680,2. COSTO MATERIALES,0.0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,-38487045.0,-37451265.0,-75938310.0,0.25108656308754673,-80938310,0.9382245564554041
P-1680,1. INGRESO,0.0,NUEVA UNO,CONSTRUCTORA TECSA S.A.,76988974.0,111775261.0,188764235.0,0.25108656308754673,203764235,0.9263855111766792
P-1681,1. INGRESO,0.0, CD ROSEN (CCTV PROVISORIO),COLCHONES ROSEN SAIC,765714.0,10720132.0,11485846.0,0.7126792401709026,11485846,1.0
P-1682,3. COSTO MANO DE OBRA,0.0,PLAZA CEPPI,EMP. CONSTRUCTORA INGENIEROS S.A.,-10329193.0,-10680840.0,-21010033.0,0.3765149181992104,-21433707,0.9802332839578334
P-1682,2. COSTO MATERIALES,0.0,PLAZA CEPPI,EMP. CONSTRUCTORA INGENIEROS S.A.,-10525711.0,-14706814.0,-25232525.0,0.3765149181992104,-25232525,1.0
