CODIGO_PROYECTO,TIPO_CUENTA,TOTAL_LB,NOMBRE_OBRA,NOMBRE_CLIENTE,TOTAL YTD,TOTAL LB OLD,TOTAL_PDT,MARGEN,TOTAL_PDT_PROY,% AVANCE
P-1557,3. COSTO MANO DE OBRA,0.0,ROSARIO ROSALES,EBCO S.A.,-945949.0,0.0,-945949.0,0.0,-1891898.0,0.5
P-1591,3. COSTO MANO DE OBRA,0.0,EDIFICIO ESTORIL,EBCO S.A.,-2483998.0,0.0,-2483998.0,0.0,-4967996.0,0.5
P-1592,2. COSTO MATERIALES,0.0,NUEVA COSTANERA 3300,EBCO S.A.,-9821.0,856004.0,846183.0,1.0474820831776892,846183.0,1.0
P-1603,2. COSTO MATERIALES,0.0,FARELLONES,EMPRESA CONSTRUCTORA DLP S.A.,-30000.0,0.0,-30000.0,0.0,-30000.0,1.0
P-1611,2. COSTO MATERIALES,0.0,EDIFICIO PLAZA EGAÑA,EBCO S.A.,6648.0,596177.0,602825.0,1.1444404243899633,602825.0,1.0
P-1612,2. COSTO MATERIALES,0.0,BARRIO PARQUE SANTIAGO 7,CONSTRUCTORA ALTURAS DEL SUR S.A,30258.0,280644.0,310902.0,0.0,310902.0,1.0
P-1620,2. COSTO MATERIALES,0.0,"OF APOQUINDO- HABILITACIONES, INTEGRACION Y ADICIONALES.",CONSTRUCTORA INARCO S.A.,-16400.0,0.0,-16400.0,0.0,-16400.0,1.0
P-1626,2. COSTO MATERIALES,0.0,CLINICA BIO BIO,CONSTRUCTORA LYD S.A.,3460.0,678564.0,682024.0,10.029483801782003,682024.0,1.0
P-1632,2. COSTO MATERIALES,0.0,CHORRILLOS CLOROX,CONSTRUCTORA SUKSA S.A.,0.0,236593.0,236593.0,0.0,236593.0,1.0
P-1636,2. COSTO MATERIALES,0.0,SANTO DOMINGO 1410,DANACORP S.A,0.0,-455187.0,-455187.0,0.7701637310893672,-455187.0,1.0
P-1639,2. COSTO MATERIALES,0.0,LYON 2546,MOLLER Y PEREZ - COTAPOS CONSTRUCCIONES INDUSTRIALES S.A,5166.0,-11386547.0,-11381381.0,0.48193466053638384,-11381381.0,1.0
P-1641,2. COSTO MATERIALES,0.0,INACAP TEMUCO,DESARROLLOS CONSTRUCTIVOS AXIS SOCIEDAD ANONIMA,-369720.0,-669050.0,-1038770.0,0.0,-1038770.0,1.0
P-1642,2. COSTO MATERIALES,0.0,CORINTO,EMP. CONSTRUCTORA INGENIEROS S.A.,8880.0,-3100254.0,-3091374.0,0.5684262489065376,-3091374.0,1.0
P-1643,2. COSTO MATERIALES,0.0,CHORRILLOS M4,CONSTRUCTORA SUKSA S.A.,0.0,-102685.0,-102685.0,0.0,-102685.0,1.0
P-1644,2. COSTO MATERIALES,0.0,MIRADOR DE SAN CRISTOBAL,EBCO S.A.,204032.0,-4787728.0,-4583696.0,0.7079814749832464,-4583696.0,1.0
P-1645,2. COSTO MATERIALES,0.0,LOS TRES ANTONIOS,SOCIEDAD CONSTRUCTORA ECHAVARRI HERMANOS LIMITADA,0.0,-8425359.0,-8425359.0,0.3397292083563748,-8425359.0,1.0
P-1645,1. INGRESO,0.0,LOS TRES ANTONIOS,SOCIEDAD CONSTRUCTORA ECHAVARRI HERMANOS LIMITADA,0.0,17327418.0,17327418.0,0.3397292083563748,17327418.0,1.0
P-1648,2. COSTO MATERIALES,0.0,ETAPA 2 CD PERALILLO TW,INMOBILIARIA Y RENTAS LOGÍSTICA S.A.,200959.0,585953.0,786912.0,2.1696945373467114,786912.0,1.0
P-1649,2. COSTO MATERIALES,0.0,INACAP VITACURA E2,CONSTRUCTORA CUEVAS Y PURCELL S.A.,9072.0,-23863151.0,-23854079.0,0.5587938928214331,-23854079.0,1.0
P-1653,2. COSTO MATERIALES,0.0,EDUARDO DE LA BARRA,CONSTRUCTORA E INVERSIONES VITAL SPA.,9000.0,-5682570.0,-5673570.0,0.5884963464134056,-5673570.0,1.0
P-1656,2. COSTO MATERIALES,0.0,MIRADOR CLUB HÍPICO,CONSTRUCTORA VITAL EDIFICACION SPA,0.0,-7997069.0,-7997069.0,0.46755384807629735,-7997069.0,1.0
P-1658,2. COSTO MATERIALES,0.0,VIVIPRA,VICHERAT Y PRADENAS LTDA.,47401.0,-11404567.0,-11357166.0,0.6208078648898158,-11357166.0,1.0
P-1660,2. COSTO MATERIALES,0.0,CORONEL ALVARADO,LARRAIN PRIETO RISOPATRON S.A.,158753.0,-12219084.0,-12060331.0,0.31432948578864817,-12060331.0,1.0
P-1661,2. COSTO MATERIALES,0.0,SAN VICENTE DE PAUL,DANACORP S.A,3200.0,-14273969.0,-14270769.0,0.6129224609754692,-14270769.0,1.0
P-1663,2. COSTO MATERIALES,0.0,OFICINAS EQUIFAX,CONSTRUCTORA VRK INGENIERIA LIMITADA,0.0,-154491.0,-154491.0,0.0,-154491.0,1.0
P-1664,2. COSTO MATERIALES,0.0,MK II PCI,COMERCIAL K SPA.,207670.0,-50263095.0,-50055425.0,0.6383667609749212,-50055425.0,1.0
P-1666,2. COSTO MATERIALES,0.0,CD AXIONLONG,EBCO S.A.,0.0,-25105908.0,-25105908.0,0.6280437338810861,-25105908.0,1.0
P-1667,3. COSTO MANO DE OBRA,0.0,ECO PLACILLA,CONSTRUCTORA ICF SPA,-5776759.0,-31446381.0,-37223140.0,0.018994777350114244,-38190368.0,0.9746735092995176
P-1667,2. COSTO MATERIALES,0.0,ECO PLACILLA,CONSTRUCTORA ICF SPA,-2362317.0,-43203936.0,-45566253.0,0.018994777350114244,-45566253.0,1.0
P-1668,2. COSTO MATERIALES,0.0,QUILLAYES PLAZA,E.MOLINA MOREL CONSTRUCTORA S.A.,146500.0,-14171213.0,-14024713.0,0.3709413734778897,-14024713.0,1.0
P-1669,3. COSTO MANO DE OBRA,0.0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,-156861.0,-3156860.0,-3313721.0,0.5874300077268384,-3470582.0,0.9548026815099023
P-1669,2. COSTO MATERIALES,0.0,DEPARTAMENTAL,EMP. CONSTRUCTORA INGENIEROS S.A.,1424462.0,-6319064.0,-4894602.0,0.5874300077268384,-4894602.0,1.0
