,PROYECTO,OBRA,RUT,CONSTRUCTORA,FECHA INICIO,FECHA TERMINO,ULTIMO EP PRESENTADO,AVANCE EN OBRA,MONTO EN $,$ POR FACTURAR,Anticipo x devolver,Retenciones acumuladas,% x Facturar,35700,Vendedor,Supervisor,Venc de Poliza ANT,Venc de Poliza FC,Devolución de retenciones,217465.036046312,217465.036046312.1,217465.036046312.2,217465.036046312.3,0,0.1,0.2,0.3,0.4,0.5
0,,,,,,,,,8111745112.450766,3283770104.372462,566088536.7116053,199016825.55482054,,,,,,,,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
1,P-1632,Chorrillos Clorox,76.108.978-1,SuKsa S.A,2019-02-04 00:00:00,2019-05-31,,0.9933700887993832,138107706.0252684,915642.2570371032,-0.06593868468189612,0.36403000075370073,0.006629914313902048,3.0,Eduardo Figueroa,Ingenieria,FIN,FIN,COBRAR - LLAMAR,217465.036046312,217465.036046312,217465.036046312,217465.036046312,0.0,0.0,0.0,0.0,0.0,0.0
2,P-1638,Colon,78134800-7,Grevia,2019-08-13 00:00:00,2020-03-27,,0.9999918512224644,43206282.0,2177592.643623121,-128127.90263931,2160225.774380993,0.05039990813426439,,Carlos Toro,,CHEQUE BLANCO,,,,,,,,,,,,
3,P-1645,Los 3 Antonios,77.710.830-1,EDICASA,2019-08-31 00:00:00,,,0.984642793244482,18150000.0,208732.44259012118,0.19489189819432795,-153400.66513063246,0.011500410060061772,,Leonardo toro,,2022-01-30 00:00:00,,180 DÍAS DE LA RECEPCIÓN DEFINITIVA O ANTES MEDIANTE CANJE,,,,,,,,,,
4,P-1647,Bodega corrosivos TW,76.564.630-8,Inmobiliaria y Rentas Logisticas S.A,,,,0.578139568676362,29482131.0,12437344.5,0.0,0.0,0.42186043132363804,,Eduardo Figueroa,,,,,,,,,,,,,,
5,P-1654,Exequiel Fernandez 1670 Cantauco,76.210.676-0,Cantauco Ltda,2019-12-02 00:00:00,2020-10-30,,0.9999950269876887,23880352.4905654,-4080851.0417444743,-85363.3669892037,1471634.3249999997,-0.17088738716720067,,Carlos Toro,,2020-04-30 00:00:00,,,,,,,,,,,,
6,P-1655,Decathlon,76.507.443-6,Decathlon,2019-12-23 00:00:00,2020-02-03,,0.9999935427939818,51593018.52617033,-10094172.106355183,-20482.85534529388,3232221.3399945,-0.19564996184968242,,Carlos Gallegos,,FIN,FIN,COBRAR-VER POST VENTA,,,,,,,,,,
7,P-1656,Mirador club Hipico (Abate Molina),79.877.450-6,Vital Spa,2019-12-18 00:00:00,2020-04-17,,1.0864111905228118,36463980.0,2634396.177000001,7706.244844000321,1725737.9999999998,0.07224653416878797,,Carlos Toro,,2020-04-17 00:00:00,2020-04-17 00:00:00,,,,,,,,,,,
8,P-1660,Coronel Alvarado,"80.536.800-4,",Larraín,2020-03-04 00:00:00,2020-08-04,,0.9882989104017412,39366390.0,1968451.5409125015,-169724.64776061257,1507993.5406725002,0.05000335415344159,,Carlos Toro,,2021-07-01 00:00:00,2021-07-01 00:00:00,,,,,,,,,,,
9,P-1661,San Vicente de Paul,78.056.380-k,Danacorp,2020-04-13 00:00:00,2020-09-30,,0.9756119854810503,48586986.0,732455.4720000029,-639093.0347059995,-424855.3469999996,0.015075137033608195,,Carlos Toro,,2020-10-30 00:00:00,2021-03-03 00:00:00,,,,,,,,,,,
10,P-1663,Oficinas Equifax,76.068.342-6,Equifax VRK,,,,0.9315095615539805,65362150.0,6742322.617892146,778633.0778186256,3044273.384436275,0.10315331759882664,,Leonardo Toro,,,,,,,,,,,,,,
11,P-1667,Eco Placilla Estación,76.690.901-9,Fundamenta,2021-03-15 00:00:00,2021-12-31,,0.958732205853406,85409828.0,7186493.760000005,432440.330000001,4094258.89,0.08414129765019554,,Carlos Toro,,2022-01-31 00:00:00,2022-03-31 00:00:00,Recepción del mandante contra póliza a un año,,,,,,,,,,
12,P-1668,Quillayes Oasis Plaza,76.299.890-4,EMM Molina Morel,,,,0.9758097051307915,37160752.59909741,-1719104.948902592,-334244.85977008194,1806838.37302487,-0.046261306046432096,,Carlos Toro,,,,1 año de recepción ó 60 días contra garantía,,,,,,,,,,
13,P-1669,Departamental II,96.522.120-4,ISA,2020-01-07 00:00:00,2022-07-29,,0.2893519256308101,80678430.0,0.0,0.0,1001152.9592885,0.0,,Leonardo toro,,2022-04-14 00:00:00,,12 meses,,,,,,,,,,
14,P-1670,MK II C4 SEG,77.137.860-9,Comercial k LTDA,,,,1.0000079488453906,202553946.0,176.00100001692772,2770476.4321285,4090550.803499999,8.689092633965656e-07,,Carlos gallegos,,2021-06-15 00:00:00,,60 días de la entrega,,,,,,,,,,
15,P-1671,Barrio Parque Santiago 8 y 9,76.541.270-6,Alturas del sur Sencorp,2021-01-20 00:00:00,2022-04-20,,0.18134562724166772,125912115.0,83605689.1635,16736750.238532202,958376.1437419499,0.6640003558315258,,Leonardo Toro,,2022-04-20 00:00:00,,1 año o con canje por boleta,,,,,,,,,,
16,P-1672,Santa Clara,76.207.028-6,UPC S.A,,,,1.0002421267625294,134443080.0,6388441.411644995,26439.132875510928,6447432.81222539,0.04751781506080488,,Leonardo toro,,2022-04-30 00:00:00,01-03-22/30-04-22,150 días del termino contra garantía a 12 meses,,,,,,,,,,
