Part_Number,Descripcion,Categoria,Familia,Costo_Promedio,Ultimo_x0020_Costo,Fecha_Ultima_Compra
C02030178,"Bandeja 19"" 1U 50cm para bastidor doble faz",C02,03,13361,13361,2019-09-25T00:00:00-03:00
C02030179,Bastidor Simple 42U 2.00 Mt Negro,C02,03,37647,37647,2019-10-08T00:00:00-03:00
C02030204,Tuerca enjaulada para Perno M-6,C02,03,690,690,2023-05-23T00:00:00-04:00
C02030221,"Bandeja 19"" portateclado ajustable 600",C02,03,11287,11287,2015-04-01T00:00:00-03:00
C02030396,Rack Gabinete Autosoportado 2100x800,C02,03,300000,300000,2023-06-20T00:00:00-04:00
C02030398,"Ordenador de Cable 19"" 2U",C02,03,6588,6588,2023-06-14T00:00:00-04:00
C02030405,Fibra Optica FO Multimodo 6F OM3 50/125 Exterior LSZH,C02,03,777,777,2023-06-05T00:00:00-04:00
C02030483,Minibandeja empalme Fibra Optica Easyfiber 12f,C02,03,19504,19504,2022-11-02T00:00:00-03:00
C02030525,Zapatilla PDU rackeable 10A 5113 12CH,C02,03,25966,25966,2023-06-14T00:00:00-04:00
C02030526,Bastidor 32U 1.50 M Negro,C02,03,29916,29916,2015-11-24T00:00:00-03:00
C02030694,Bandeja simple para rack,C02,03,9257,9244,2023-06-05T00:00:00-04:00
C02030695,Perno M-6,C02,03,67,101.5,2019-12-06T00:00:00-03:00
C02030787,Mini Server Enviromux,C02,03,94860,150000,2015-11-02T00:00:00-03:00
C02030845,Conector Jumper FO Duplex SC/SC 2 mts.,C02,03,3601,3244,2023-04-20T00:00:00-03:00
C02030846,Adaptador duplex SC/SC,C02,03,290,290,2022-04-18T00:00:00-03:00
C02030854,Rack Gabinete Mural 09U 600x450mm,C02,03,71008,71008,2023-06-05T00:00:00-04:00
C02031044,Rack Gabinete Mural 06U 600x450mm,C02,03,65085,65000,2023-05-18T00:00:00-04:00
C02031111,SLm Placa Fibra Optica Sc/bandeja 18p,C02,03,0,2441.2,2012-03-14T00:00:00-03:00
C02031113,Conector Jumper FO Duplex LC/SC,C02,03,5070,7794,2023-06-05T00:00:00-04:00
C02031146,"Cabecera Fibra Optica 24SC 19"" ODF (Rackeable)",C02,03,33445,33445,2023-06-22T00:00:00-04:00
C02031148,Rack Gabinete Mural 15U 600x600mm acceso frontal y lateral,C02,03,98438,98438,2022-02-11T00:00:00-03:00
C02031201,Rack Gabinete mural de 12 U,C02,03,68712,77395,2023-03-07T00:00:00-03:00
C02031214,Soporte metalico para regleta NT-SOPMET 10 regletas,C02,03,10500,10500,2013-09-24T00:00:00-03:00
C02031284,Rack Gabinete Mural 04U 280x310mm,C02,03,27815,27815,2023-05-22T00:00:00-04:00
C02031365,Conector Pigtail FO MM SC 1.5M,C02,03,619,620,2023-06-19T00:00:00-04:00
C02031390,Rack Gabinete Mural 14U 620*600,C02,03,75849,75849,2012-08-09T00:00:00-04:00
