CODIGO_PROYECTO,PARTIDA_PRESUPUESTARIA,PRODUCTO,UNIDAD,CANTIDAD,COSTO_UNITARIO,COSTO_TOTAL
P-1602,1001,DETECCIÓN-Central  de detección Hochiki FNP1127US00RS220,,1,428490,428490
P-1602,1002,DETECCIÓN-Sensor Humo Hochiki ALN-C,,49,20866,1022434
P-1602,1003,DETECCIÓN-Sensor de temperatura Hochiki ATJ-EA,,4,23846,95384
P-1602,1004,DETECCIÓN-Base Sensores Hochiki HSB-NSA-6,,53,2608,138224
P-1602,1005,DETECCIÓN-Palanca Manual Hochiki DCP-AMS,,13,27200,353600
P-1602,1006,DETECCIÓN-Sirena c/Strobo EST,,13,20000,260000
P-1602,1007,DETECCIÓN-Bateria,,2,7000,14000
P-1602,1008,DETECCIÓN-Fuente 220VAC/24VAC 3A c/ Cargador  FN-300X-C (220V),,1,95013,95013
P-1602,1009,DETECCIÓN-Modulo relay Hochiki R2ML,,2,30180,60360
P-1602,1010,DETECCIÓN-Cable 2x18 UL,,908,190,172520
P-1602,1011,DETECCIÓN-Cable vertical,,48,190,9120
P-1602,1012,DETECCIÓN-Otros materiales,Gl,1,185440,185440
P-1602,1013,CCTV-Cámara Mini Domo Dahua HDCVI. Lente fijo 2.8mm. 20 Mts SMART IR. Resolución 720P (1280x720),,13,8000,104000
P-1602,1014,"""CCTV-Cámara Tipo Bala Dahua HDCVI. Lente fijo 2.8mm. Sensor 1/4"""". 20 Mts SMART IR. IP67. Resolución 720P (1280x720), Plástica  """,,12,8500,102000
P-1602,1015,"CCTV-Cable  cat5 UNIFILAR, 100% cobre  UTP CAT-5e",,915,170,155550
P-1602,1016,CCTV-Monitor LCD  17 A 19,,2,62000,124000
P-1602,1017,CCTV-Balun,,25,2600,65000
P-1602,1018,CCTV-Fuente poder,,2,30000,60000
P-1602,1019,CCTV-DVR 16 CH digital Dahua HCVR4116HS-S3,,2,56980,113960
P-1602,1020,CCTV-Disco duro  1 TB,,2,52000,104000
P-1602,1021,CCTV-Cable vertical,,93,1300,120900
P-1602,1022,CCTV-Otros materiales,Gl,1,66459,66459
P-1602,1023,CITOFONIA-CITÓFONO  Bticino Sprint c/Func aux,,94,20176,1896544
P-1602,1024,CITOFONIA-CENTRAL CITOFONIA  BTicino 344002,,1,229913,229913
P-1602,1025,"CITOFONIA-cable de 0,9 mm. Interior",,3120,136,424320
P-1602,1026,CITOFONIA-T/Caja Emb C/Marco 2mod Vert PLACAS DE ACCESO PARA LLAMADA A CONSERJERÍA,,6,14423,86538
P-1602,1027,CITOFONIA-T/Corniza Terminac 2mod Alum PLACAS DE ACCESO PARA LLAMADA A CONSERJERÍA,,6,16060,96360
P-1602,1028,CITOFONIA-Grupo Fonicop/Sist.Digital PLACAS DE ACCESO PARA LLAMADA A CONSERJERÍA,,6,62531,375186
P-1602,1029,CITOFONIA-T/Mod Front P/Fonico 1 Puls Al PLACAS DE ACCESO PARA LLAMADA A CONSERJERÍA,,6,12587,75522
P-1602,1030,CITOFONIA-Deriv Montant/Placa Videodigit EQUIPOS DE INTERCONEXIÓN DEL SISTEMA: A INSTALAR EN TABLERO O GABINETE,,1,27107,27107
P-1602,1031,CITOFONIA-T/Aliment Digit/Video Anal 10m EQUIPOS DE INTERCONEXIÓN DEL SISTEMA: A INSTALAR EN TABLERO O GABINETE,,1,46956,46956
P-1602,1032,CITOFONIA-Interfaz P/Sistema 2 Hilos EQUIPOS DE INTERCONEXIÓN DEL SISTEMA: A INSTALAR EN TABLERO O GABINETE,,1,138705,138705
P-1602,1033,CITOFONIA-Alimentador P/Sist 2 Hil 100pi EQUIPOS DE INTERCONEXIÓN DEL SISTEMA: A INSTALAR EN TABLERO O GABINETE,,1,48863,48863
P-1602,1034,CITOFONIA-Configuradores 1 X 10 Unds ELEMENTOS DE CONFIGURACIÓN DEL SISTEMA,,2,3249,6498
P-1602,1035,CITOFONIA-Configuradores 2 X 10 Unds ELEMENTOS DE CONFIGURACIÓN DEL SISTEMA,,2,3249,6498
P-1602,1036,CITOFONIA-Configuradores 3 X 10 Unds ELEMENTOS DE CONFIGURACIÓN DEL SISTEMA,,2,3249,6498
P-1602,1037,CITOFONIA-Configuradores 4 X 10 Unds ELEMENTOS DE CONFIGURACIÓN DEL SISTEMA,,2,3249,6498
